region_index,start_seconds,end_seconds,start_hms,end_hms,duration_s,mean_engagement,max_engagement,covered_seconds_any,coverage_frac_any,coverage_frac_Gawr Gura Begins her,coverage_frac_Gawr Gura Builds Atl,coverage_frac_Gura's First Minecra,covered_at_0pct,covered_at_25pct,covered_at_50pct,covered_at_75pct
1,125.0,215.0,2:05,3:35,90.0,1.2392,1.4328,25.0,0.2778,0.1222,0.0,0.2778,1,1,0,0
2,495.0,635.0,8:15,10:35,140.0,1.1147,1.2463,49.0,0.35,0.1286,0.15,0.0857,1,1,0,0
3,725.0,845.0,12:05,14:05,120.0,1.3478,1.7619,23.0,0.1917,0.0,0.0,0.1917,1,0,0,0
4,925.0,1015.0,15:25,16:55,90.0,1.572,1.8398,85.0,0.9444,0.0,0.0,0.9444,1,1,1,1
5,1095.0,1265.0,18:15,21:05,170.0,1.1424,1.3273,15.0,0.0882,0.0882,0.0,0.0,1,0,0,0
6,1825.0,1965.0,30:25,32:45,140.0,1.1425,1.2757,31.0,0.2214,0.0857,0.1357,0.0,1,0,0,0
7,2165.0,2225.0,36:05,37:05,60.0,1.0605,1.1211,44.0,0.7333,0.7333,0.2667,0.2333,1,1,1,0
8,2445.0,2745.0,40:45,45:45,300.0,1.1796,1.407,91.0,0.3033,0.08,0.1133,0.1767,1,1,0,0
9,2895.0,3205.0,48:15,53:25,310.0,1.2733,1.5738,47.0,0.1516,0.0,0.0387,0.1129,1,0,0,0
10,6315.0,6755.0,1:45:15,1:52:35,440.0,1.131,1.3495,104.0,0.2364,0.0818,0.1659,0.0636,1,0,0,0
11,6945.0,7675.0,1:55:45,2:07:55,730.0,1.1313,1.7766,144.0,0.1973,0.0603,0.1014,0.1,1,0,0,0
12,7845.0,8015.0,2:10:45,2:13:35,170.0,1.1176,1.3157,0.0,0.0,0.0,0.0,0.0,0,0,0,0
13,8225.0,10265.0,2:17:05,2:51:05,2040.0,1.0537,1.9435,489.5,0.24,0.026,0.1586,0.1196,1,0,0,0
14,10315.0,10375.0,2:51:55,2:52:55,60.0,1.0634,1.0895,19.0,0.3167,0.0,0.3167,0.0,1,1,0,0
15,10425.0,10485.0,2:53:45,2:54:45,60.0,1.0052,1.0512,13.0,0.2167,0.0,0.0,0.2167,1,0,0,0
16,10995.0,11065.0,3:03:15,3:04:25,70.0,1.092,1.1822,16.0,0.2286,0.2286,0.0,0.0,1,0,0,0
17,11295.0,11405.0,3:08:15,3:10:05,110.0,1.1554,1.2954,14.0,0.1273,0.0,0.0,0.1273,1,0,0,0
18,11625.0,11855.0,3:13:45,3:17:35,230.0,1.273,1.7767,70.0,0.3043,0.0652,0.1391,0.2435,1,1,0,0
